NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MTPN	1	MTPN	
LEPROT	1	LEPROT	
TTK	1	TTK	
TTL	1	TTL	
TTN	1	TTN	
ABLIM1	1	ABLIM1	
ABLIM2	1	ABLIM2	
ABLIM3	1	ABLIM3	
ALOXE3	1	ALOXE3	
TUB	1	TUB	
MTOR	1	MTOR	
GLOD4	1	GLOD4	
DYNC2I2	1	WDR34	
OLFM5P	1	OLFM5P	
TCERG1	1	TCERG1	
DYNC2I1	1	WDR60	
MTRR	1	MTRR	
HDAC10	1	HDAC10	
WDSUB1	1	WDSUB1	
AQP8	1	AQP8	
PITPNB	1	PITPNB	
ZMYND8	1	ZMYND8	
AQP9	1	AQP9	
HDAC11	1	HDAC11	
PITPNA	1	PITPNA	
AQP7	1	AQP7	
AQP5	1	AQP5	
GBA3	1	GBA3	
MKI67	1	MKI67	
RPS4XP22	1	RPS4XP22	
AQP3	1	AQP3	
GBA2	1	GBA2	
AQP1	1	AQP1	
KIAA0930	1	KIAA0930	
BTRC	1	BTRC	
SYNPO	1	SYNPO	
DYNC2H1	1	DYNC2H1	
CPT1A	1	CPT1A	
RPS4XP13	1	RPS4XP13	
IFRD2	1	IFRD2	
RPS4XP17	1	RPS4XP17	
IFRD1	1	IFRD1	
RPS4XP16	1	RPS4XP16	
RPL37P18	1	RPL37P18	
KNL1	1	KNL1	
CPT1C	1	CPT1C	
CPT1B	1	CPT1B	
NIF3L1	1	NIF3L1	
TATDN2P2	1	TATDN2P2	
RPL37P23	1	RPL37P23	
TATDN2P3	1	TATDN2P3	
HECA	1	HECA	
UHRF1BP1	1	UHRF1BP1	
CAGE1	1	CAGE1	
RPS2P55	1	RPS2P55	
RTEL1	1	RTEL1	
TXK	1	TXK	
MTTP	1	MTTP	
TRANK1	1	TRANK1	
TXN	1	TXN	
STRIP1	1	STRIP1	
STRIP2	1	STRIP2	
RPS2P45	1	RPS2P45	
RPS2P46	1	RPS2P46	
RPS2P48	1	RPS2P48	
RPS2P44	1	RPS2P44	
SYNRG	1	SYNRG	
OCEL1	1	OCEL1	
VNN1	1	VNN1	
SMURF2P1	1	SMURF2P1	
RPS2P35	1	RPS2P35	
RBAK	1	RBAK	
RPS2P32	1	RPS2P32	
RANP4	1	RANP4	
TENM1	1	TENM1	
RANP1	1	RANP1	
TENM2	1	TENM2	
TENM3	1	TENM3	
TENM4	1	TENM4	
RANP8	1	RANP8	
GBE1	1	GBE1	
RPL13P12	1	RPL13P12	
SEC61G	1	SEC61G	
TMED3	1	TMED3	
DGCR6L	1	DGCR6L	
TMED2	1	TMED2	
TMED1	1	TMED1	
SEC61B	1	SEC61B	
TMED7	1	TMED7	
ERMAP	1	ERMAP	
TMED6	1	TMED6	
TMED5	1	TMED5	
TMED4	1	TMED4	
SLC25A6P4	1	SLC25A6P4	
ZYG11B	1	ZYG11B	
TMED9	1	TMED9	
ZYG11A	1	ZYG11A	
SLC25A6P3	1	SLC25A6P3	
TMED8	1	TMED8	
HEG1	1	HEG1	
SCNM1	1	SCNM1	
SCAND2P	1	SCAND2P	
AVPI1	1	AVPI1	
SDCCAG8	1	SDCCAG8	
DTYMK	1	DTYMK	
RBFA	1	RBFA	
TM4SF20	1	TM4SF20	
TM4SF18	1	TM4SF18	
TM4SF19	1	TM4SF19	
MTX1	1	MTX1	
MTX2	1	MTX2	
MTX3	1	MTX3	
GBF1	1	GBF1	
NR6A1	1	NR6A1	
PRKRA	1	PRKRA	
COPG2	1	COPG2	
COPG1	1	COPG1	
FRA10AC1	1	FRA10AC1	
ABHD11-AS1	1	ABHD11-AS1	
IHO1	1	CCDC36	
HELB	1	HELB	
GOLGA6L9	1	GOLGA6L9	
BMPER	1	BMPER	
GOLGA6L4	1	GOLGA6L4	
STX16-NPEPL1	1	STX16-NPEPL1	
SVEP1	1	SVEP1	
IL11RA	1	IL11RA	
GOLGA6L3	1	GOLGA6L3	
STIMATE	1	STIMATE	
ACYP2	1	ACYP2	
CDPF1	1	CDPF1	
ACYP1	1	ACYP1	
RSBN1	1	RSBN1	
ZCCHC8	1	ZCCHC8	
COPB2	1	COPB2	
ZCCHC7	1	ZCCHC7	
COPB1	1	COPB1	
ZCCHC9	1	ZCCHC9	
ALOX12	1	ALOX12	
YWHAZP2	1	YWHAZP2	
YWHAZP4	1	YWHAZP4	
YWHAZP3	1	YWHAZP3	
ZMAT1	1	ZMAT1	
THPO	1	THPO	
UBB	1	UBB	
ZMAT2	1	ZMAT2	
ZMAT3	1	ZMAT3	
UBD	1	UBD	
ZMAT4	1	ZMAT4	
UBC	1	UBC	
ZMAT5	1	ZMAT5	
LONRF3	1	LONRF3	
LONRF1	1	LONRF1	
LONRF2	1	LONRF2	
CPSF4	1	CPSF4	
CPSF7	1	CPSF7	
CPSF6	1	CPSF6	
HELQ	1	HELQ	
CPSF1	1	CPSF1	
CPSF3	1	CPSF3	
CPSF2	1	CPSF2	
HELZ	1	HELZ	
SEM1	1	SEM1	
BAMBI	1	BAMBI	
CRYL1	1	CRYL1	
FGFR4	1	FGFR4	
RBIS	1	RBIS	
ZCCHC4	1	ZCCHC4	
FGFR3	1	FGFR3	
ZCCHC3	1	ZCCHC3	
FGFR2	1	FGFR2	
ZCCHC2	1	ZCCHC2	
FGFR1	1	FGFR1	
UCN	1	UCN	
THRB	1	THRB	
THRA	1	THRA	
SMG1P1	1	SMG1P1	
SMG1P2	1	SMG1P2	
SMG1P3	1	SMG1P3	
SMG1P4	1	SMG1P4	
SMG1P5	1	SMG1P5	
SMG1P6	1	SMG1P6	
SMG1P7	1	SMG1P7	
OPLAH	1	OPLAH	
RBM3	1	RBM3	
RBM4	1	RBM4	
HEPH	1	HEPH	
RBM7	1	RBM7	
RBM5	1	RBM5	
RBM6	1	RBM6	
FTLP3	1	FTLP3	
FTLP2	1	FTLP2	
SMKR1	1	SMKR1	
GLP2R	1	GLP2R	
MYRIP	1	MYRIP	
RBL2	1	RBL2	
GAP43	1	GAP43	
RBL1	1	RBL1	
TDGF1P7	1	TDGF1P7	
TMEM9	1	TMEM9	
RBKS	1	RBKS	
NRXN1	1	NRXN1	
NRXN3	1	NRXN3	
NRXN2	1	NRXN2	
BICRA	1	BICRA	
NXF1	1	NXF1	
MUC1	1	MUC1	
NXF3	1	NXF3	
SAP30L	1	SAP30L	
POC1A	1	POC1A	
POC1B	1	POC1B	
HES1	1	HES1	
BUB3	1	BUB3	
TENT2	1	TENT2	
GBP2	1	GBP2	
BUB1	1	BUB1	
GBP1	1	GBP1	
HES2	1	HES2	
GBP4	1	GBP4	
HES5	1	HES5	
GBP3	1	GBP3	
HES4	1	HES4	
CRYGS	1	CRYGS	
NOC2LP1	1	NOC2LP1	
NOC2LP2	1	NOC2LP2	
CRYGN	1	CRYGN	
CAPN14	1	CAPN14	
CAPN12	1	CAPN12	
JSRP1	1	JSRP1	
CAPN10	1	CAPN10	
LYNX1-SLURP2	1	LYNX1-SLURP2	
FSIP1	1	FSIP1	
RBMX	1	RBMX	
FSIP2	1	FSIP2	
ZFYVE9	1	ZFYVE9	
ARAF	1	ARAF	
C4BPB	1	C4BPB	
RBPJ	1	RBPJ	
ZFYVE1	1	ZFYVE1	
ZFYVE28	1	ZFYVE28	
ZFYVE26	1	ZFYVE26	
ZFYVE27	1	ZFYVE27	
UBASH3B	1	UBASH3B	
ENPP7P12	1	ENPP7P12	
GBP6	1	GBP6	
HES7	1	HES7	
GBP5	1	GBP5	
HES6	1	HES6	
HPCAL1	1	HPCAL1	
ZFYVE21	1	ZFYVE21	
OR2L2	1	OR2L2	
RNASE4	1	RNASE4	
GAPVD1	1	GAPVD1	
KMT5AP1	1	KMT5AP1	
RBP7	1	RBP7	
RBP4	1	RBP4	
RBP5	1	RBP5	
ZFYVE16	1	ZFYVE16	
ZFYVE19	1	ZFYVE19	
RBP1	1	RBP1	
NOS2P3	1	NOS2P3	
NOS2P2	1	NOS2P2	
CEP85L	1	CEP85L	
SDR39U1	1	SDR39U1	
SLCO5A1	1	SLCO5A1	
THY1	1	THY1	
WBP2NL	1	WBP2NL	
EDEM3	1	EDEM3	
MCTS1	1	MCTS1	
MCTS2	1	MCTS2P	
EDEM1	1	EDEM1	
LRBA	1	LRBA	
EDEM2	1	EDEM2	
NETO2	1	NETO2	
PTRHD1	1	PTRHD1	
COL1A1	1	COL1A1	
SETX	1	SETX	
COL1A2	1	COL1A2	
DCHS2	1	DCHS2	
DCHS1	1	DCHS1	
ARF3	1	ARF3	
ARF4	1	ARF4	
ARF1	1	ARF1	
HEXB	1	HEXB	
HEXA	1	HEXA	
HEXD	1	HEXD	
AREG	1	AREG	
IKBKB	1	IKBKB	
HMGB3P9	1	HMGB3P9	
TUBA1C	1	TUBA1C	
TUBA1B	1	TUBA1B	
TUBA1A	1	TUBA1A	
HEY1	1	HEY1	
HEY2	1	HEY2	
HMGB3P7	1	HMGB3P7	
HMGB3P4	1	HMGB3P4	
IKBKG	1	IKBKG	
IKBKE	1	IKBKE	
IKBIP	1	IKBIP	
ARG2	1	ARG2	
CROCCP4	1	CROCCP4	
CROCCP3	1	CROCCP3	
UBE2Q2L	1	UBE2Q2L	
CROCCP2	1	CROCCP2	
RRAS2	1	RRAS2	
GOLGA2P7	1	GOLGA2P7	
RBSN	1	RBSN	
GOLGA2P5	1	GOLGA2P5	
GPRC5B	1	GPRC5B	
GPRC5A	1	GPRC5A	
RILPL2	1	RILPL2	
RILPL1	1	RILPL1	
GPRC5D	1	GPRC5D	
GPRC5C	1	GPRC5C	
ARF5	1	ARF5	
ARF6	1	ARF6	
KATNIP	1	KIAA0556	
SUMO2P17	1	SUMO2P17	
RNASEL	1	RNASEL	
RNASEK	1	RNASEK	
STAU1	1	STAU1	
STAU2	1	STAU2	
SEZ6	1	SEZ6	
MIEF2	1	MIEF2	
MIEF1	1	MIEF1	
SINHCAFP2	1	SINHCAFP2	
UNG	1	UNG	
GLRA2	1	GLRA2	
UNK	1	UNK	
GBX2	1	GBX2	
H3C13	1	HIST2H3D	
H3C14	1	HIST2H3C	
H3C11	1	HIST1H3I	
H3C12	1	HIST1H3J	
STAT4	1	STAT4	
H3C10	1	HIST1H3H	
RPL13P2	1	RPL13P2	
STAT6	1	STAT6	
RPL13P5	1	RPL13P5	
STAT1	1	STAT1	
STAT2	1	STAT2	
STAT3	1	STAT3	
CASTOR1	1	CASTOR1	
GLRA4	1	GLRA4	
ASPRV1	1	ASPRV1	
HEYL	1	HEYL	
CASTOR3	1	CASTOR3	
CASTOR2	1	CASTOR2	
SERBP1	1	SERBP1	
ETFBKMT	1	ETFBKMT	
UBAP1	1	UBAP1	
UBAP2	1	UBAP2	
ERO1A	1	ERO1A	
ERO1B	1	ERO1B	
CCNT2	1	CCNT2	
CCNT1	1	CCNT1	
SMCHD1	1	SMCHD1	
HEPHL1	1	HEPHL1	
PITX2	1	PITX2	
PITX1	1	PITX1	
PITX3	1	PITX3	
MINAR1	1	MINAR1	
PPP1R16B	1	PPP1R16B	
AREL1	1	AREL1	
KHNYN	1	KHNYN	
PPP1R16A	1	PPP1R16A	
MUL1	1	MUL1	
TUBA4A	1	TUBA4A	
RBX1	1	RBX1	
RBMXL1	1	RBMXL1	
NPTXR	1	NPTXR	
ARL9	1	ARL9	
PFKFB2	1	PFKFB2	
PFKFB1	1	PFKFB1	
PFKFB4	1	PFKFB4	
PFKFB3	1	PFKFB3	
ARL6	1	ARL6	
TUBGCP2	1	TUBGCP2	
ARL3	1	ARL3	
ARL1	1	ARL1	
ARL2	1	ARL2	
RBMXP4	1	RBMXP4	
RAP1GAP	1	RAP1GAP	
BCL2L12	1	BCL2L12	
BCL2L13	1	BCL2L13	
OR2S2	1	OR2S2	
SBNO1	1	SBNO1	
BCL2L10	1	BCL2L10	
SBNO2	1	SBNO2	
BCL2L11	1	BCL2L11	
ATG101	1	ATG101	
CPAMD8	1	CPAMD8	
NPTX1	1	NPTX1	
NPTX2	1	NPTX2	
BCL2L15	1	BCL2L15	
TIA1	1	TIA1	
BICRAL	1	BICRAL	
MFHAS1	1	MFHAS1	
UST	1	UST	
TUBGCP5	1	TUBGCP5	
ALG1L10P	1	ALG1L10P	
TUBGCP6	1	TUBGCP6	
TUBGCP3	1	TUBGCP3	
TUBGCP4	1	TUBGCP4	
CNTNAP2	1	CNTNAP2	
MOXD1	1	MOXD1	
CNTNAP1	1	CNTNAP1	
FAM47E-STBD1	1	FAM47E-STBD1	
NXT1	1	NXT1	
PPP1R13B	1	PPP1R13B	
COX4I1	1	COX4I1	
PIK3CD	1	PIK3CD	
PIK3CB	1	PIK3CB	
NXT2	1	NXT2	
PPP1R13L	1	PPP1R13L	
EIF3CL	1	EIF3CL	
UTY	1	UTY	
PPP1R12A	1	PPP1R12A	
ARNT	1	ARNT	
TMED10P1	1	TMED10P1	
TMED10P2	1	TMED10P2	
PIK3CA	1	PIK3CA	
PIK3C3	1	PIK3C3	
PPP1R12B	1	PPP1R12B	
PPP1R12C	1	PPP1R12C	
PPP1R15A	1	PPP1R15A	
PPP1R15B	1	PPP1R15B	
LRP1	1	LRP1	
LRP5	1	LRP5	
KATNB1	1	KATNB1	
LRP4	1	LRP4	
FURIN	1	FURIN	
LRP3	1	LRP3	
LRP2	1	LRP2	
LRP8	1	LRP8	
LRP6	1	LRP6	
PRIMPOL	1	PRIMPOL	
CNNM1	1	CNNM1	
MIEN1	1	MIEN1	
KATNA1	1	KATNA1	
TIFA	1	TIFA	
PCBD1	1	PCBD1	
PCBD2	1	PCBD2	
CNNM2	1	CNNM2	
CNNM3	1	CNNM3	
CNNM4	1	CNNM4	
PPP1R14A	1	PPP1R14A	
METAP1D	1	METAP1D	
PPP1R14B	1	PPP1R14B	
PPP1R14C	1	PPP1R14C	
TIE1	1	TIE1	
AKR7L	1	AKR7L	
CDR2L	1	CDR2L	
EIF4A2	1	EIF4A2	
EPHB6	1	EPHB6	
EIF4A1	1	EIF4A1	
TAS2R20	1	TAS2R20	
LRR1	1	LRR1	
EIF4A3	1	EIF4A3	
ULK4	1	ULK4	
TONSL	1	TONSL	
DNHD1	1	DNHD1	
GCC2	1	GCC2	
GCC1	1	GCC1	
NUBP1	1	NUBP1	
NUBP2	1	NUBP2	
UXT	1	UXT	
BAIAP2L2	1	BAIAP2L2	
BAIAP2L1	1	BAIAP2L1	
DHX57	1	DHX57	
DHX58	1	DHX58	
BCAP29	1	BCAP29	
OXER1	1	OXER1	
RCC1	1	RCC1	
CCNL2	1	CCNL2	
ACAD11	1	ACAD11	
CCNL1	1	CCNL1	
EPHB2	1	EPHB2	
ACAD10	1	ACAD10	
EPHB1	1	EPHB1	
EPHB4	1	EPHB4	
EPHB3	1	EPHB3	
EPHA5	1	EPHA5	
ARSA	1	ARSA	
EPHA4	1	EPHA4	
PABIR1	1	FAM122A	
EPHA7	1	EPHA7	
MUSK	1	MUSK	
EPHA8	1	EPHA8	
TAS2R10	1	TAS2R10	
TAS2R13	1	TAS2R13	
TAS2R14	1	TAS2R14	
PABIR2	1	FAM122B	
GCAT	1	GCAT	
TAS2R19	1	TAS2R19	
PABIR3	1	FAM122C	
DHX40	1	DHX40	
MXRA8	1	MXRA8	
ULK3	1	ULK3	
ULK2	1	ULK2	
ULK1	1	ULK1	
MXRA7	1	MXRA7	
EPHA1	1	EPHA1	
PEX11G	1	PEX11G	
MXRA5	1	MXRA5	
EPHA3	1	EPHA3	
MMADHC	1	MMADHC	
EPHA2	1	EPHA2	
GCDH	1	GCDH	
ZBED9	1	ZBED9	
ZBED8	1	ZBED8	
PAXIP1	1	PAXIP1	
TAS2R43	1	TAS2R43	
PEX11A	1	PEX11A	
PEX11B	1	PEX11B	
PIK3R4	1	PIK3R4	
SUPT4H1	1	SUPT4H1	
TAS2R46	1	TAS2R46	
PIK3R3	1	PIK3R3	
PIK3R2	1	PIK3R2	
PIK3R1	1	PIK3R1	
PTTG1IP	1	PTTG1IP	
ART5	1	ART5	
ART3	1	ART3	
DHX30	1	DHX30	
DHX32	1	DHX32	
RAB11FIP1	1	RAB11FIP1	
ARSL	1	ARSE	
DHX33	1	DHX33	
PCBP3	1	PCBP3	
DHX34	1	DHX34	
MIER3	1	MIER3	
PCBP4	1	PCBP4	
ARSJ	1	ARSJ	
DHX35	1	DHX35	
MICAL1	1	MICAL1	
MIER2	1	MIER2	
PCBP1	1	PCBP1	
VN1R83P	1	VN1R83P	
ARSK	1	ARSK	
DHX36	1	DHX36	
MIER1	1	MIER1	
PCBP2	1	PCBP2	
DHX37	1	DHX37	
ZBED2	1	ZBED2	
ARSI	1	ARSI	
DHX38	1	DHX38	
ZBED1	1	ZBED1	
ARSG	1	ARSG	
RCE1	1	RCE1	
ARSD	1	ARSD	
N4BP3	1	N4BP3	
RAB11FIP2	1	RAB11FIP2	
ZBED6	1	ZBED6	
N4BP2	1	N4BP2	
RAB11FIP3	1	RAB11FIP3	
ZBED5	1	ZBED5	
ARSB	1	ARSB	
CLHC1	1	CLHC1	
RAB11FIP4	1	RAB11FIP4	
ZBED4	1	ZBED4	
RAB11FIP5	1	RAB11FIP5	
ZBED3	1	ZBED3	
WWTR1	1	WWTR1	
TAS2R30	1	TAS2R30	
TAS2R31	1	TAS2R31	
RCC2	1	RCC2	
MICAL3	1	MICAL3	
MICAL2	1	MICAL2	
URGCP-MRPS24	1	URGCP-MRPS24	
VN1R84P	1	VN1R84P	
ARTN	1	ARTN	
MTCO1P12	1	MTCO1P12	
MTCO1P11	1	MTCO1P11	
DHX29	1	DHX29	
CCNJL	1	CCNJL	
CETN2	1	CETN2	
CETN3	1	CETN3	
NMRAL2P	1	NMRAL2P	
ARV1	1	ARV1	
MTCO1P28	1	MTCO1P28	
STBD1	1	STBD1	
DHX15	1	DHX15	
DHX16	1	DHX16	
ALG1L11P	1	ALG1L11P	
NCOA1	1	NCOA1	
NCOA2	1	NCOA2	
TAS2R50	1	TAS2R50	
NCOA5	1	NCOA5	
STARD3NL	1	STARD3NL	
NCOA6	1	NCOA6	
NCOA3	1	NCOA3	
NCOA4	1	NCOA4	
VSNL1	1	VSNL1	
BANK1	1	BANK1	
CCNI2	1	CCNI2	
NCOA7	1	NCOA7	
CRELD1	1	CRELD1	
CRELD2	1	CRELD2	
SFI1	1	SFI1	
MTCO1P40	1	MTCO1P40	
SAMM50	1	SAMM50	
ALG1L13P	1	ALG1L13P	
RSL24D1P8	1	RSL24D1P8	
BCAP31	1	BCAP31	
TAS2R6P	1	TAS2R6P	
GCH1	1	GCH1	
NUBPL	1	NUBPL	
MAD2L2	1	MAD2L2	
GARS1	1	GARS	
CCNG2	1	CCNG2	
LKAAEAR1	1	LKAAEAR1	
CCNG1	1	CCNG1	
SLC25A39P1	1	SLC25A39P1	
AUNIP	1	AUNIP	
TARDBP	1	TARDBP	
MAD2L1	1	MAD2L1	
KLHL36	1	KLHL36	
KLHL38	1	KLHL38	
KLHL32	1	KLHL32	
KLHL33	1	KLHL33	
ZRSR2P1	1	ZRSR2P1	
KLHL35	1	KLHL35	
PHRF1	1	PHRF1	
KLHL30	1	KLHL30	
KLHL31	1	KLHL31	
RPL39P5	1	RPL39P5	
CCND3	1	CCND3	
CCND2	1	CCND2	
CCND1	1	CCND1	
BANF1	1	BANF1	
PDGFRB	1	PDGFRB	
PDGFRA	1	PDGFRA	
HFM1	1	HFM1	
TPRA1	1	TPRA1	
CYBA	1	CYBA	
KLHL41	1	KLHL41	
PDGFRL	1	PDGFRL	
RPP25L	1	RPP25L	
KLHL42	1	KLHL42	
TERB1	1	TERB1	
PROCR	1	PROCR	
CCNE2	1	CCNE2	
CCNE1	1	CCNE1	
UBBP4	1	UBBP4	
UBBP1	1	UBBP1	
VCL	1	VCL	
KLHL18	1	KLHL18	
NDRG4	1	NDRG4	
VCP	1	VCP	
NDRG3	1	NDRG3	
KLHL15	1	KLHL15	
KLHL17	1	KLHL17	
KLHL10	1	KLHL10	
KLHL11	1	KLHL11	
KLHL12	1	KLHL12	
KLHL13	1	KLHL13	
NDRG2	1	NDRG2	
NDRG1	1	NDRG1	
TAF5L	1	TAF5L	
CCNB3	1	CCNB3	
CCNB2	1	CCNB2	
BRINP2	1	BRINP2	
CCNB1	1	CCNB1	
BRINP1	1	BRINP1	
CYC1	1	CYC1	
PRODH	1	PRODH	
GCN1	1	GCN1	
KLHL29	1	KLHL29	
GCKR	1	GCKR	
KLHL25	1	KLHL25	
KLHL26	1	KLHL26	
VDR	1	VDR	
PSPHP1	1	PSPHP1	
KLHL28	1	KLHL28	
KLHL21	1	KLHL21	
KLHL22	1	KLHL22	
NFXL1	1	NFXL1	
KLHL23	1	KLHL23	
KLHL24	1	KLHL24	
GULP1	1	GULP1	
KLHL20	1	KLHL20	
RCL1	1	RCL1	
RPL26P6	1	RPL26P6	
GCLC	1	GCLC	
APPBP2	1	APPBP2	
CYCS	1	CYCS	
TAF4B	1	TAF4B	
GCLM	1	GCLM	
LGALS3BP	1	LGALS3BP	
YWHAE	1	YWHAE	
MCUR1	1	MCUR1	
CNRIP1	1	CNRIP1	
YWHAB	1	YWHAB	
ABHD16A	1	ABHD16A	
SFR1	1	SFR1	
VN1R81P	1	VN1R81P	
YWHAQ	1	YWHAQ	
GATAD1	1	GATAD1	
RCC2P7	1	RCC2P7	
YWHAG	1	YWHAG	
YWHAH	1	YWHAH	
GLRX3	1	GLRX3	
GLRX5	1	GLRX5	
TBC1D8	1	TBC1D8	
ABHD14B	1	ABHD14B	
TBC1D9	1	TBC1D9	
UBE2QL1	1	UBE2QL1	
ABHD14A	1	ABHD14A	
GLRX2	1	GLRX2	
YWHAZ	1	YWHAZ	
GCNA	1	GCNA	
CCNA2	1	CCNA2	
RCN3	1	RCN3	
CCNA1	1	CCNA1	
TBC1D1	1	TBC1D1	
RCN1	1	RCN1	
SFPQ	1	SFPQ	
TBC1D2	1	TBC1D2	
PSRC1	1	PSRC1	
RCN2	1	RCN2	
TBC1D4	1	TBC1D4	
VGF	1	VGF	
TBC1D5	1	TBC1D5	
MMRN2	1	MMRN2	
TBC1D7	1	TBC1D7	
VN1R82P	1	VN1R82P	
WHAMMP3	1	WHAMMP3	
WHAMMP2	1	WHAMMP2	
RRBP1	1	RRBP1	
ABHD17C	1	ABHD17C	
CYGB	1	CYGB	
TAF1D	1	TAF1D	
TAF1B	1	TAF1B	
TNKS2	1	TNKS2	
TAF1C	1	TAF1C	
TAF1A	1	TAF1A	
VHL	1	VHL	
TAF15	1	TAF15	
TAF12	1	TAF12	
TAF13	1	TAF13	
TAF10	1	TAF10	
TAF11	1	TAF11	
ABHD16B	1	ABHD16B	
BCLAF1P2	1	BCLAF1P2	
PROB1	1	PROB1	
ABHD17B	1	ABHD17B	
ABHD17A	1	ABHD17A	
CDC42P6	1	CDC42P6	
ASB8	1	ASB8	
ASB9	1	ASB9	
ASB6	1	ASB6	
ASB7	1	ASB7	
QRICH1	1	QRICH1	
ASB5	1	ASB5	
QRICH2	1	QRICH2	
VIM	1	VIM	
ASB2	1	ASB2	
VIP	1	VIP	
ASB3	1	ASB3	
RPL26L1	1	RPL26L1	
ASB1	1	ASB1	
VIT	1	VIT	
MAML2	1	MAML2	
MAML1	1	MAML1	
MYT1L	1	MYT1L	
RAPH1	1	RAPH1	
THYN1	1	THYN1	
GCSH	1	GCSH	
RPL12P1	1	RPL12P1	
RPL12P4	1	RPL12P4	
BVES	1	BVES	
WSB1	1	WSB1	
WSB2	1	WSB2	
OR1J4	1	OR1J4	
ANKHD1-EIF4EBP3	1	ANKHD1-EIF4EBP3	
OR1J2	1	OR1J2	
IFT80	1	IFT80	
IFT88	1	IFT88	
IFT81	1	IFT81	
MAML3	1	MAML3	
ADAM20P1	1	ADAM20P1	
UBA52	1	UBA52	
FTLP15	1	FTLP15	
LDHBP1	1	LDHBP1	
NEDD4L	1	NEDD4L	
ATXN7L3B	1	ATXN7L3B	
SLAIN2	1	SLAIN2	
A1BG	1	A1BG	
SLAIN1	1	SLAIN1	
GSDMD	1	GSDMD	
GSDMC	1	GSDMC	
GSDMB	1	GSDMB	
GSDMA	1	GSDMA	
RNASE10	1	RNASE10	
TMEM190	1	TMEM190	
TMEM192	1	TMEM192	
A1CF	1	A1CF	
TMEM198	1	TMEM198	
TMEM199	1	TMEM199	
CYLD	1	CYLD	
FA2H	1	FA2H	
ASAH2B	1	ASAH2B	
CHRFAM7A	1	CHRFAM7A	
GSDME	1	GSDME	
POLR2KP1	1	POLR2KP1	
TMEM181	1	TMEM181	
TMEM182	1	TMEM182	
TMEM186	1	TMEM186	
TMEM187	1	TMEM187	
TMSB4X	1	TMSB4X	
TMSB4Y	1	TMSB4Y	
GPRASP1	1	GPRASP1	
LDLRAP1	1	LDLRAP1	
GPRASP2	1	GPRASP2	
SLC2A14	1	SLC2A14	
SLC2A11	1	SLC2A11	
SLC2A10	1	SLC2A10	
SLC2A13	1	SLC2A13	
SLC2A12	1	SLC2A12	
FN3KRP	1	FN3KRP	
TACR2	1	TACR2	
TMEM171	1	TMEM171	
TACR1	1	TACR1	
TMEM175	1	TMEM175	
TMEM177	1	TMEM177	
LSG1	1	LSG1	
TMEM179	1	TMEM179	
SLCO4A1	1	SLCO4A1	
PLPPR2	1	PLPPR2	
PLPPR3	1	PLPPR3	
PLPPR4	1	PLPPR4	
ASIP	1	ASIP	
HOXD13	1	HOXD13	
TMEM160	1	TMEM160	
HOXD12	1	HOXD12	
HOXD11	1	HOXD11	
HOXD10	1	HOXD10	
TMEM163	1	TMEM163	
TMEM164	1	TMEM164	
TMEM165	1	TMEM165	
TMEM168	1	TMEM168	
TMEM169	1	TMEM169	
ANKRD53	1	ANKRD53	
SPA17P1	1	SPA17P1	
ANKRD54	1	ANKRD54	
ANKRD52	1	ANKRD52	
ANKRD50	1	ANKRD50	
ENPP7P8	1	ENPP7P8	
ZDHHC8P1	1	ZDHHC8P1	
OR1L8	1	OR1L8	
ENPP7P4	1	ENPP7P4	
TMEM154	1	TMEM154	
ERP44	1	ERP44	
TMEM156	1	TMEM156	
TMEM158	1	TMEM158	
ZNFX1	1	ZNFX1	
HMGA1P8	1	HMGA1P8	
ANKRD65	1	ANKRD65	
HMGA1P3	1	HMGA1P3	
ANKRD63	1	ANKRD63	
ENPP7P1	1	ENPP7P1	
ANKRD61	1	ANKRD61	
ANKRD39	1	ANKRD39	
ANKRD37	1	ANKRD37	
ANKRD35	1	ANKRD35	
ANKRD36	1	ANKRD36	
ANKRD33	1	ANKRD33	
ZFP36	1	ZFP36	
DACH1	1	DACH1	
GRB14	1	GRB14	
NAGLU	1	NAGLU	
ZFP30	1	ZFP30	
ANKRD31	1	ANKRD31	
GRB10	1	GRB10	
RBMX2P1	1	RBMX2P1	
TMSB10	1	TMSB10	
ZFP37	1	ZFP37	
RBMX2P3	1	RBMX2P3	
CD177	1	CD177	
ANKRD49	1	ANKRD49	
ANKRD46	1	ANKRD46	
ANKRD44	1	ANKRD44	
ANKRD45	1	ANKRD45	
RPL12P14	1	RPL12P14	
CYS1	1	CYS1	
RPL12P16	1	RPL12P16	
SYPL2	1	SYPL2	
RPL12P10	1	RPL12P10	
BSCL2	1	BSCL2	
CLIP3	1	CLIP3	
CLIP2	1	CLIP2	
CLIP1	1	CLIP1	
RPL12P20	1	RPL12P20	
SYPL1	1	SYPL1	
ZFP41	1	ZFP41	
CLIP4	1	CLIP4	
ZFP42	1	ZFP42	
ANKRD42	1	ANKRD42	
ERP29	1	ERP29	
ANKRD40	1	ANKRD40	
GRAPL	1	GRAPL	
PHPT1	1	PHPT1	
MAD1L1	1	MAD1L1	
ANKRD17	1	ANKRD17	
ANKRD16	1	ANKRD16	
CALCRL	1	CALCRL	
CD151	1	CD151	
ANKRD11	1	ANKRD11	
SUZ12P1	1	SUZ12P1	
ANKRD12	1	ANKRD12	
